,title,url,views,votes
39,How to configure my packages or NuGet itself to automatically resolve dependencies to the lastest version in a configured range?,/questions/66314251/how-to-configure-my-packages-or-nuget-itself-to-automatically-resolve-dependenci,19,0
12,Redirect to URL with POST method in Asp.Net Core3.1,/questions/66315437/redirect-to-url-with-post-method-in-asp-net-core3-1,18,0
2,Repeat Text X Amount with New Numbers Each Time,/questions/66315780/repeat-text-x-amount-with-new-numbers-each-time,17,-1
37,Custom DisplayMemberPath from multiple fields [duplicate],/questions/66314271/custom-displaymemberpath-from-multiple-fields,17,0
14,Strange behavior with RegexOptions.IgnoreCase [duplicate],/questions/66315394/strange-behavior-with-regexoptions-ignorecase,17,0
38,Genrate signed ads for SKAdnetwork in c# .net,/questions/66314260/genrate-signed-ads-for-skadnetwork-in-c-sharp-net,15,0
19,Generic JSON API Response Handler that can work with different response format in C#,/questions/66315024/generic-json-api-response-handler-that-can-work-with-different-response-format-i,13,0
11,Prevent IDE0055 style analyzer when aligning code with spaces,/questions/66315458/prevent-ide0055-style-analyzer-when-aligning-code-with-spaces,13,2
46,System.AggregateException: 'One or more errors occurred.' [closed],/questions/66314020/system-aggregateexception-one-or-more-errors-occurred,12,-1
30,link progress bar with value in function during function execution,/questions/66314679/link-progress-bar-with-value-in-function-during-function-execution,11,0
34,Is it possible to commit a read only field using EF to the database in Cosmos?,/questions/66314440/is-it-possible-to-commit-a-read-only-field-using-ef-to-the-database-in-cosmos,11,0
23,DotSpatial (C#) re-projections - 'InitializeExternalGrids' causes .Net to 'freeze',/questions/66314953/dotspatial-c-re-projections-initializeexternalgrids-causes-net-to-freez,11,0
27,The problem of changes to a table with several different events (RabbitMQ) in a service and in ASP Core,/questions/66314760/the-problem-of-changes-to-a-table-with-several-different-events-rabbitmq-in-a,10,-1
3,Xamarin.Forms Android Error after update to Xamarin.Forms 5.0 and Android 10,/questions/66315752/xamarin-forms-android-error-after-update-to-xamarin-forms-5-0-and-android-10,10,0
17,Required service for type RootQuery not found in ASP.NET Core GraphQL,/questions/66315086/required-service-for-type-rootquery-not-found-in-asp-net-core-graphql,10,0
41,possible to have sub-headers in objectlistview?,/questions/66314200/possible-to-have-sub-headers-in-objectlistview,9,-1
49,How would I make a highlight button animation with LeanTween,/questions/66313748/how-would-i-make-a-highlight-button-animation-with-leantween,9,-1
35,"How can I do Assertion in xunit tests “ Activation profile(s) of id(s) 416,417 deleted”? [closed]",/questions/66314419/how-can-i-do-assertion-in-xunit-tests-activation-profiles-of-ids-416-417-d,9,-2
29,How to get git branch information about each of commit by using 'LibGit2sharp',/questions/66314728/how-to-get-git-branch-information-about-each-of-commit-by-using-libgit2sharp,9,0
24,Selenium Chrome Web Driver & C# -> Problem with scheduling Program,/questions/66314939/selenium-chrome-web-driver-c-sharp-problem-with-scheduling-program,9,0
1,Windows Form Text_Leave Message Sender Return Null,/questions/66315883/windows-form-text-leave-message-sender-return-null,8,0
20,How to add git sub-module in a repo using LibGit2sharp,/questions/66314971/how-to-add-git-sub-module-in-a-repo-using-libgit2sharp,8,0
43,How to make a character with legs walk using script (unity 2d),/questions/66314186/how-to-make-a-character-with-legs-walk-using-script-unity-2d,8,-1
10,How to rotate texture on cube in OpenGL,/questions/66315492/how-to-rotate-texture-on-cube-in-opengl,7,0
9,How to import a bacpac file to Sql Server by a stream,/questions/66315507/how-to-import-a-bacpac-file-to-sql-server-by-a-stream,7,-1
7,Xamarin.Forms Image not showing from Source,/questions/66315551/xamarin-forms-image-not-showing-from-source,7,0
5,DataProtectionProvider.UnprotectAsync(IBuffer) throws a ASN-1 error,/questions/66315689/dataprotectionprovider-unprotectasyncibuffer-throws-a-asn-1-error,7,0
0,C# 4 tasks with parsing json?,/questions/66315960/c-sharp-4-tasks-with-parsing-json,7,0
26,Cant add wmp.dll reference to C# .Net Core project,/questions/66314870/cant-add-wmp-dll-reference-to-c-sharp-net-core-project,6,0
4,Bold font in specific dataGridView rows,/questions/66315731/bold-font-in-specific-datagridview-rows,5,0
31,How to filter a specific colour with AForge,/questions/66314601/how-to-filter-a-specific-colour-with-aforge,4,0
