,title,url,views,votes
25,how to pre-fill a value in django-crispy-form field,/questions/66314611/how-to-pre-fill-a-value-in-django-crispy-form-field,14,0
1,Stop button from overflowing,/questions/66315800/stop-button-from-overflowing,14,0
27,The action tag is not working in live server vs code,/questions/66314552/the-action-tag-is-not-working-in-live-server-vs-code,14,0
21,css grid in list without wrapper or container,/questions/66314720/css-grid-in-list-without-wrapper-or-container,14,0
24,"I am creating a like and dislike button, but it toggles the like count for ALL posts on the page, instead of the post being liked",/questions/66314637/i-am-creating-a-like-and-dislike-button-but-it-toggles-the-like-count-for-all-p,12,0
34,"How to click in a button HTML without class, ID, only tag name input using VBA in MS Access",/questions/66314175/how-to-click-in-a-button-html-without-class-id-only-tag-name-input-using-vba-i,12,0
13,"I want to make character moves in my website when pressing arrow keys, but not sure what is required to achieve that",/questions/66315338/i-want-to-make-character-moves-in-my-website-when-pressing-arrow-keys-but-not-s,12,0
40,Why is flex-basis not used for width calculation of enclosing box? [duplicate],/questions/66313840/why-is-flex-basis-not-used-for-width-calculation-of-enclosing-box,11,0
18,Send PHP Variable to Button Value Then Send Button Value to SELECT Mysql,/questions/66315063/send-php-variable-to-button-value-then-send-button-value-to-select-mysql,11,-1
11,MutationObserver infinite callbacks caused by modifying element text,/questions/66315403/mutationobserver-infinite-callbacks-caused-by-modifying-element-text,11,0
29,Print Pdf in original aspect ratio in Javascript,/questions/66314452/print-pdf-in-original-aspect-ratio-in-javascript,10,0
22,Cannot find control with path: 'formArrayName -> controlArray',/questions/66314703/cannot-find-control-with-path-formarrayname-controlarray,10,0
23,"Format Material UI, Wrap Text in a Label of razor page",/questions/66314663/format-material-ui-wrap-text-in-a-label-of-razor-page,8,0
7,How do I assign an image to external links?,/questions/66315659/how-do-i-assign-an-image-to-external-links,8,0
35,JS: detect DOM mutation via MutationObserver and change element content,/questions/66314016/js-detect-dom-mutation-via-mutationobserver-and-change-element-content,7,0
6,How to optimize dot leaders in HTML for Gmail iOS?,/questions/66315673/how-to-optimize-dot-leaders-in-html-for-gmail-ios,7,0
3,Why both divs get margin if I set margin to one [duplicate],/questions/66315750/why-both-divs-get-margin-if-i-set-margin-to-one,7,0
45,Live text over background Outlook signature,/questions/66313536/live-text-over-background-outlook-signature,6,0
5,Display text in table vertically in thead [duplicate],/questions/66315688/display-text-in-table-vertically-in-thead,6,0
42,What language to use for recipe page,/questions/66313758/what-language-to-use-for-recipe-page,5,0
0,How do I make navigation bar responsive?,/questions/66315983/how-do-i-make-navigation-bar-responsive,5,-1
