,title,url,views,votes
21,Pass a dynamic parameter to a content script injected using chrome.tabs.executeScript() in for loop and write the parameter value to console,/questions/66315493/pass-a-dynamic-parameter-to-a-content-script-injected-using-chrome-tabs-executes,13,0
1,how can I convert !$(this).hasClass to javascript vanilla [duplicate],/questions/66315940/how-can-i-convert-this-hasclass-to-javascript-vanilla,13,-2
46,new Date() object scope and accessibility [closed],/questions/66315026/new-date-object-scope-and-accessibility,12,-1
30,How to use datetimepicker from react-native-community,/questions/66315350/how-to-use-datetimepicker-from-react-native-community,12,0
22,How to get image name and size for the uploaded image,/questions/66315488/how-to-get-image-name-and-size-for-the-uploaded-image,12,0
31,"I want to make character moves in my website when pressing arrow keys, but not sure what is required to achieve that",/questions/66315338/i-want-to-make-character-moves-in-my-website-when-pressing-arrow-keys-but-not-s,12,0
3,How to change prices dynamically [closed],/questions/66315904/how-to-change-prices-dynamically,12,-2
26,MutationObserver infinite callbacks caused by modifying element text,/questions/66315403/mutationobserver-infinite-callbacks-caused-by-modifying-element-text,11,0
40,"SAPPER - MikroORM: Circular dependency, Cannot access 'Person' before initialization",/questions/66315171/sapper-mikroorm-circular-dependency-cannot-access-person-before-initializa,11,0
47,TypeError: Class constructor model cannot be invoked without 'new',/questions/66315022/typeerror-class-constructor-model-cannot-be-invoked-without-new,11,0
16,non JavaScript MIME type after switching alpine to debian,/questions/66315579/non-javascript-mime-type-after-switching-alpine-to-debian,9,0
27,Test a correct extension of file input always throwing the false condition (jest),/questions/66315392/test-a-correct-extension-of-file-input-always-throwing-the-false-condition-jest,8,0
48,Chrome extension get response after pageload in specific url list,/questions/66315019/chrome-extension-get-response-after-pageload-in-specific-url-list,8,0
49,Telegram bot (telegraf.js): Is it possible to save messages the user sent to the bot and send them to the admin?,/questions/66315010/telegram-bot-telegraf-js-is-it-possible-to-save-messages-the-user-sent-to-the,7,0
2,making node sass generate a class but also a mixin?,/questions/66315925/making-node-sass-generate-a-class-but-also-a-mixin,7,0
38,Intersection Observer API: How to find which element the user is observing,/questions/66315261/intersection-observer-api-how-to-find-which-element-the-user-is-observing,7,0
4,Sequelize ignores values in create function,/questions/66315900/sequelize-ignores-values-in-create-function,5,1
8,"Input type, saved after .blur() with Greasemonkey on Firefox",/questions/66315824/input-type-saved-after-blur-with-greasemonkey-on-firefox,3,0
