,title,url,views,votes
25,Running Tesseract multiple times produces different output,/questions/66315576/running-tesseract-multiple-times-produces-different-output,9,0
17,How to get xml elements which have childs with a certain tag and attribute,/questions/66315652/how-to-get-xml-elements-which-have-childs-with-a-certain-tag-and-attribute,9,0
23,How to Scroll Inside Element Python Selenium?,/questions/66315596/how-to-scroll-inside-element-python-selenium,8,0
21,Agglomerate adjecent cells and their neighbours of the same type to clusters with python,/questions/66315609/agglomerate-adjecent-cells-and-their-neighbours-of-the-same-type-to-clusters-wit,8,0
40,Kivy 2 (Python3) windows exe packing not work,/questions/66315408/kivy-2-python3-windows-exe-packing-not-work,8,0
2,How to unpack generator results from ProcessPoolExecutor?,/questions/66315961/how-to-unpack-generator-results-from-processpoolexecutor,7,0
46,How do I load an image into a kivy window using a button?,/questions/66315286/how-do-i-load-an-image-into-a-kivy-window-using-a-button,7,0
31,How can we shorten an python xpath get() that is empty and prevent the split if no string is found?,/questions/66315513/how-can-we-shorten-an-python-xpath-get-that-is-empty-and-prevent-the-split-if,7,0
7,How to do image preprocessing when applying a basic classifier,/questions/66315908/how-to-do-image-preprocessing-when-applying-a-basic-classifier,7,-1
10,How can I change the directory in Python FTP?,/questions/66315859/how-can-i-change-the-directory-in-python-ftp,6,0
44,How to plot the population x_n versus time t_n under a certain R value?,/questions/66315293/how-to-plot-the-population-x-n-versus-time-t-n-under-a-certain-r-value,6,0
9,Unable to resolve marshmallow ValidationError exception,/questions/66315866/unable-to-resolve-marshmallow-validationerror-exception,6,0
39,Offline install of Powershell kernel in Azure Data Studio Notebook,/questions/66315436/offline-install-of-powershell-kernel-in-azure-data-studio-notebook,6,0
0,How can I make the multi-select function in django admin,/questions/66315976/how-can-i-make-the-multi-select-function-in-django-admin,6,0
18,Pygame code to draw a line between two mouseclicks [duplicate],/questions/66315647/pygame-code-to-draw-a-line-between-two-mouseclicks,6,0
32,Google Cloud Dataflow - Pub/Sub to BQ,/questions/66315498/google-cloud-dataflow-pub-sub-to-bq,6,0
22,PySide / PyQt - Click a button and change MainWindow,/questions/66315598/pyside-pyqt-click-a-button-and-change-mainwindow,6,0
6,Altair facet charts save individual image,/questions/66315913/altair-facet-charts-save-individual-image,5,0
3,BigQuery uploading list of dictionaries using Python Unicode error,/questions/66315942/bigquery-uploading-list-of-dictionaries-using-python-unicode-error,5,0
37,Get value from ValuePattern.Value in Desktop Application by Winium using Python/Selenium,/questions/66315466/get-value-from-valuepattern-value-in-desktop-application-by-winium-using-python,4,0
42,Receive data via a rest call using Flask and Dash and update the graphs,/questions/66315368/receive-data-via-a-rest-call-using-flask-and-dash-and-update-the-graphs,4,0
30,Color of communities in infomap algorithm python,/questions/66315516/color-of-communities-in-infomap-algorithm-python,4,0
29,Nginx Gunicorn not serving requests to external ip,/questions/66315524/nginx-gunicorn-not-serving-requests-to-external-ip,4,0
1,Bytes UTF 16 to DataFrame,/questions/66315968/bytes-utf-16-to-dataframe,4,0
11,Why exits from ConversationHandler before the fallbacks?,/questions/66315854/why-exits-from-conversationhandler-before-the-fallbacks,3,0
