,Title,URL,Views,Votes
32,Twitter Bootstrap video is floating over the Main,/questions/66558352/twitter-bootstrap-video-is-floating-over-the-main,13,1
19,"Javascript relaying to HTML min, max, sum of an array, functions work fine individually but after one goes the rest return undefined or 0",/questions/66559007/javascript-relaying-to-html-min-max-sum-of-an-array-functions-work-fine-indiv,13,1
41,My Carousel is not working on my PHP but works on HTML,/questions/66557999/my-carousel-is-not-working-on-my-php-but-works-on-html,13,0
14,Excel VBA trouble filling in web textbox,/questions/66559078/excel-vba-trouble-filling-in-web-textbox,12,1
46,Specified font not being used in Firefox on macOS,/questions/66557687/specified-font-not-being-used-in-firefox-on-macos,12,0
31,about the html select element blur event in android,/questions/66558505/about-the-html-select-element-blur-event-in-android,12,1
1,Folder download without zipping,/questions/66559460/folder-download-without-zipping,12,0
27,how to make cross icon show after file is upload [closed],/questions/66558800/how-to-make-cross-icon-show-after-file-is-upload,11,-3
13,How to align ngx-bootstrap date picker to top left or bottom left,/questions/66559083/how-to-align-ngx-bootstrap-date-picker-to-top-left-or-bottom-left,11,0
47,How do I create a navigation bar with buttons and text?,/questions/66557607/how-do-i-create-a-navigation-bar-with-buttons-and-text,10,-2
8,Shortcode wordpress only shows content for specific user IDs,/questions/66559182/shortcode-wordpress-only-shows-content-for-specific-user-ids,10,0
24,Local Storage Not Working When Applying Dark Mode,/questions/66558862/local-storage-not-working-when-applying-dark-mode,10,0
22,Javascript code is taking only value of first row,/questions/66558941/javascript-code-is-taking-only-value-of-first-row,10,0
17,Sharing web application response to the social media accounts using angular,/questions/66559034/sharing-web-application-response-to-the-social-media-accounts-using-angular,9,0
4,Wordpress HTML custom tag not working when I click “post”,/questions/66559347/wordpress-html-custom-tag-not-working-when-i-click-post,9,0
23,mirror <details> and checkbox state across iframe,/questions/66558870/mirror-details-and-checkbox-state-across-iframe,9,1
18,Is web application development more difficult than video game development?,/questions/66559027/is-web-application-development-more-difficult-than-video-game-development,9,0
0,how to show the user input values in modal popup using javascript,/questions/66559572/how-to-show-the-user-input-values-in-modal-popup-using-javascript,7,0
3,Cannot run SASS file in VS Code,/questions/66559366/cannot-run-sass-file-in-vs-code,4,0
6,How do we add the 'Inclusive of all taxes' label after the original price of the product on the product page in magento2?,/questions/66559277/how-do-we-add-the-inclusive-of-all-taxes-label-after-the-original-price-of-the,4,0
