,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL,CreatedAt
10,"How to Properly Make Money with Udemy – Passive Income https://t.co/4mHZt9imor 

#AffiliateMarketing #Entrepreneur #JavaScript #MachineLearning #DigitalTransformation #startups  #Business #100DaysOfCode #python #DigitalMarketing #startups",kevinsvips,"['AffiliateMarketing', 'Entrepreneur', 'JavaScript', 'MachineLearning', 'DigitalTransformation', 'startups', 'Business', '100DaysOfCode', 'python', 'DigitalMarketing', 'startups']",12,9,https://twitter.com/kevinsvips/status/1366900341661442048,2021-03-02
11,"The world's first bricklaying #robot. #Transportation #beforeandafter #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation https://t.co/dN0gjo5KHK",Innovat78455398,"['robot', 'Transportation', 'beforeandafter', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation']",11,2,https://twitter.com/Innovat78455398/status/1368350508277100546,2021-03-06
12,#SKCareers: We're looking for a Data Scientist/Bioinformatician in the Centre for Computational Medicine to apply #machinelearning to unique health and biological data. Interested? Apply here: https://t.co/V8cGUoVErX https://t.co/reSxAoqcB2,SickKidsNews,"['SKCareers', 'machinelearning']",10,13,https://twitter.com/SickKidsNews/status/1368348591996174346,2021-03-06
13,"Do you know how much global spending on AI by year 2021 and why? Click here:
https://t.co/PMtKEu1JQE

#doyouknow #ai #technology #online #education #elearning #machinelearning #ml #deeplearning #thedevmasters #artificialintelligence #blockchain #schools #lms #smanagement #system https://t.co/nXbA8b1SqY",thedevmasters,"['doyouknow', 'ai', 'technology', 'online', 'education', 'elearning', 'machinelearning', 'ml', 'deeplearning', 'thedevmasters', 'artificialintelligence', 'blockchain', 'schools', 'lms', 'smanagement', 'system']",8,6,https://twitter.com/thedevmasters/status/1366900210723618816,2021-03-02
14,"⚕️ 2021 | #DigitalHealth Trends in:

#BigData
#DataScience
#ArtificialIntelligence - #AI
#MachineLearning - #ML
#DeepLearning
#TeleHealth
#TeleMedicine
#EHR and #EMR
#Analytics
#Informatics
➡️ and more

🖥️ https://t.co/spiK0lLVN8 | @BLaw

@HubBucket @ProsumerSoft @HubMedX https://t.co/pGeFQv7wJ8",Rosenchild,"['DigitalHealth', 'BigData', 'DataScience', 'ArtificialIntelligence', 'AI', 'MachineLearning', 'ML', 'DeepLearning', 'TeleHealth', 'TeleMedicine', 'EHR', 'EMR', 'Analytics', 'Informatics']",7,3,https://twitter.com/Rosenchild/status/1367623233336446980,2021-03-04
15,"More #MachineLearning in your #GoogleSheets!
Check out this BigML add-on to see how to bring the power of your #ML resources to Google #Spreadsheets. https://t.co/rvqESEoQc1 https://t.co/q79N3BfPvu",bigmlcom,"['MachineLearning', 'GoogleSheets', 'ML', 'Spreadsheets']",6,6,https://twitter.com/bigmlcom/status/1366899640344342534,2021-03-02
16,Real-World Machine Learning Projects with Scikit-Learn https://t.co/XKFkVsysMz  #machinelearning #ad,machinelearnflx,"['machinelearning', 'ad']",6,3,https://twitter.com/machinelearnflx/status/1367985869529972737,2021-03-05
17,Bayesian networks | Machine Learning | UiB - We study structure learning in https://t.co/tnBKhNQhDs #machinelearning #intoAInews,into_AI,"['machinelearning', 'intoAInews']",6,2,https://twitter.com/into_AI/status/1366898750921330689,2021-03-02
18,"Machine Learning in Finance Market Research 2020-2026: Applications, Type, -  https://t.co/0e31SUOyI4 #machinelearning #intoAInews",into_AI,"['machinelearning', 'intoAInews']",6,2,https://twitter.com/into_AI/status/1366176295076450304,2021-02-28
19,The Impact of Artificial Intelligence on Society #ArtificialIntelligence #learning #machinelearning via https://t.co/bDTgBUIWtG https://t.co/sQsRq4HDkG,sajidmirza,"['ArtificialIntelligence', 'learning', 'machinelearning']",6,1,https://twitter.com/sajidmirza/status/1367261040447266819,2021-03-03
20,"Just arrived.  Been waiting on this tome by Jeff Hawkins of @Numenta #neuroscience #artificialintelligence  #reality #perception  #machinelearning  #distributedsystems
I’ll be writing a book report. https://t.co/4UUAisVvxU",tctjr,"['neuroscience', 'artificialintelligence', 'reality', 'perception', 'machinelearning', 'distributedsystems']",5,7,https://twitter.com/tctjr/status/1366900864590483457,2021-03-02
21,"True #ConversationalAI #chatbots go far beyond the #bots to which you've grown accustomed. They help #businesses engage deeply with customers—24/7. 

|| #IoT #DigitalTransformation #AI #ML #MachineLearning #DeepLearning #NeuralNetwork @Haptik https://t.co/TkAmSRkMnj",iotforall,"['ConversationalAI', 'chatbots', 'bots', 'businesses', 'IoT', 'DigitalTransformation', 'AI', 'ML', 'MachineLearning', 'DeepLearning', 'NeuralNetwork']",5,4,https://twitter.com/iotforall/status/1367262089061019648,2021-03-03
22,"Call for Papers: 2021 IEEE World Congress on Services
Deadline: 15 April 2021
More Info: https://t.co/Hn4yVsBDB6

#computing #machinelearning #comptuers #tech #technews #techtips #bigdata #ai #callforpapers #cfp #techpapers #STEM https://t.co/x6nGCjBV4v",ComputerSociety,"['computing', 'machinelearning', 'comptuers', 'tech', 'technews', 'techtips', 'bigdata', 'ai', 'callforpapers', 'cfp', 'techpapers', 'STEM']",5,3,https://twitter.com/ComputerSociety/status/1367625411241390088,2021-03-04
23,"Photos of Amelia Earhart, Marie Curie and others come alive (creepily), thanks to AI

#AI #MachineLearning #AmeliaEarhart #MarieCurie
https://t.co/YaCLPqCtnG",LaForge_AI,"['AI', 'MachineLearning', 'AmeliaEarhart', 'MarieCurie']",5,3,https://twitter.com/LaForge_AI/status/1367259751302787074,2021-03-03
24,Can Java be used for machine learning and data science? #MachineLearning #learning via https://t.co/DvgZikb3vz https://t.co/Zn5ZTsyb6i,senitih,"['MachineLearning', 'learning']",5,3,https://twitter.com/senitih/status/1366534915924320258,2021-03-01
25,Looking for a way to add machine learning to your existing software automation and RPA projects? Listen to Tommi Holmgreni who will share his passion and vision for building next-gen ML tools. Click this 👉https://t.co/G6oZIK4fY5 #machinelearning #ai #testguildpodcast https://t.co/7HjwPawOvK,joecolantonio,"['machinelearning', 'ai', 'testguildpodcast']",5,2,https://twitter.com/joecolantonio/status/1366899427215085572,2021-03-02
63,"Proud.
HT to @Paula_Piccard #Python #MachineLearning #DataScience #AI
https://t.co/J1F4bcih3t",seb8020,"['Python', 'MachineLearning', 'DataScience', 'AI']",5,1,https://twitter.com/seb8020/status/1366175146776670211,2021-02-28
26,"Serving as Lourdes's @_LXAI mentor was a very rewarding experience. Not only did I get to work with an excellent #MachineLearning &amp; #ComputerVision researcher at the start of her doctoral program, but I learned about highly intriguing use cases of CV &amp; #PatternRecognition. 1/2 https://t.co/6UiiQ2XH19",banazir,"['MachineLearning', 'ComputerVision', 'PatternRecognition']",4,7,https://twitter.com/banazir/status/1367986784198615040,2021-03-05
27,"AIT, 1st #Artificialintelligence based project on #Tron #Blockchain. @justinsuntron
A project by ArtiChain.

#Software #chatbot #MachineLearning 
 #Solidity #smartcontract
 #Algorithms https://t.co/oHfbxhLcsp",ArtiChain,"['Artificialintelligence', 'Tron', 'Blockchain', 'Software', 'chatbot', 'MachineLearning', 'Solidity', 'smartcontract', 'Algorithms']",4,5,https://twitter.com/ArtiChain/status/1366176071121534978,2021-02-28
28,"Editorial: Understanding Simple Linear Regression Tutorial  with Python → https://t.co/S9kLmBUsZg via @Towards_AI 
#SimpleLinearRegression #LinearRegression #Python #MachineLearning #ML #ArtificialIntelligence #AI #DataScience #DeepLearning #Technology #Programming #news #r…",stanford__ai,"['SimpleLinearRegression', 'LinearRegression', 'Python', 'MachineLearning', 'ML', 'ArtificialIntelligence', 'AI', 'DataScience', 'DeepLearning', 'Technology', 'Programming', 'news', 'r']",4,4,https://twitter.com/stanford__ai/status/1367985841277132801,2021-03-05
29,"The biotech boom continues with @exscientiaAI expanding their series C round from $60M to $100M funded by @blackrock. To learn more, read this @endpts article:
https://t.co/1fbvgDemWU 
#Biotech #AI #ArtificialIntelligence #MachineLearning #DrugDiscovery",TorreyPinesLaw,"['Biotech', 'AI', 'ArtificialIntelligence', 'MachineLearning', 'DrugDiscovery']",4,3,https://twitter.com/TorreyPinesLaw/status/1367987042156642310,2021-03-05
30,"This week on the #WondrosPodcast, philosopher of ethics of artificial intelligence Catherine Stinson @nerd_sighted talks to @jesse_dylan_ and @CohenPriscilla about the bias we build into our machines. Watch and subscribe at the #linkinbio 
#wondros #AI #MachineLearning https://t.co/dUqLWuzn8v",wondros,"['WondrosPodcast', 'linkinbio', 'wondros', 'AI', 'MachineLearning']",4,3,https://twitter.com/wondros/status/1367624475982712837,2021-03-04
31,"Following the #AlphaGo shock, #Korea universities injected #AI / #MachineLearning / #DeepLearning to their curricula. Now businesses demand deeper learning - at least 1 year: 
https://t.co/G8Q7mWGx0U",theseoulvillage,"['AlphaGo', 'Korea', 'AI', 'MachineLearning', 'DeepLearning']",4,2,https://twitter.com/theseoulvillage/status/1367262325489557507,2021-03-03
32,"Since millennials don’t use Twitter, we got the house all to ourselves! Waahoooeee! #environment #finance #MachineLearning #innovation #quotes #ArtificialIntelligence #Analytics #StartUp #technology #socialmedia #AI #BREAKING #Vimeo #entrepreneur #entrepreneurship #Litecoin",SenorChavezU,"['environment', 'finance', 'MachineLearning', 'innovation', 'quotes', 'ArtificialIntelligence', 'Analytics', 'StartUp', 'technology', 'socialmedia', 'AI', 'BREAKING', 'Vimeo', 'entrepreneur', 'entrepreneurship', 'Litecoin']",4,2,https://twitter.com/SenorChavezU/status/1367261258613886976,2021-03-03
33,The latest Startup and VC Buzz! https://t.co/gOPSURzais #digitaltransformation #machinelearning,gregmetro,"['digitaltransformation', 'machinelearning']",4,1,https://twitter.com/gregmetro/status/1368350339209060353,2021-03-06
34,"Hi, #MachineLearning #AI4SG twitter. for some problems in my research i am looking at instances from past AI winter. I am reading Studying Those Who Study Us: An Anthropologist in the World of Artificial Intelligence by Forsythe, Diana E. . looking for paper and books suggestions",harshit_reads,"['MachineLearning', 'AI4SG']",4,1,https://twitter.com/harshit_reads/status/1367262968161984514,2021-03-03
35,"What is #machinelearning? How does it work, and why is it important? via @Towards_AI Learn more → https://t.co/F7eCptHPuQ",mlmemoirs,['machinelearning'],4,1,https://twitter.com/mlmemoirs/status/1366534502642761728,2021-03-01
36,Choice Market Adds to Leadership Team - The entire Choice team's deep https://t.co/DfWW3N0IBU #machinelearning #intoAInews,into_AI,"['machinelearning', 'intoAInews']",4,1,https://twitter.com/into_AI/status/1366176345995300870,2021-02-28
37,"Garnet Paragon in the Field of Machine Learning, Dr. Ganapathi Pulipaka https://t.co/UHwTZ9EL62  #MachineLearning",machinelearnflx,['MachineLearning'],3,4,https://twitter.com/machinelearnflx/status/1368350506016473092,2021-03-06
38,"We recently released Applied ML Prototypes (AMPs) — a revolutionary new way of developing and shipping enterprise ML use cases. Learn more! #machinelearning #ml

https://t.co/yFFym5N1UD",cldrcommunity,"['machinelearning', 'ml']",3,4,https://twitter.com/cldrcommunity/status/1367985787900428292,2021-03-05
39,"Beauty is in the brain: AI reads brain data, generates personally attractive images | #AI #Psychology #NeuroScience #MachineLearning #DeepLearning https://t.co/PHP82WQvgK",_M_Dey,"['AI', 'Psychology', 'NeuroScience', 'MachineLearning', 'DeepLearning']",3,3,https://twitter.com/_M_Dey/status/1368579864534556673,2021-03-07
40,"What is #machinelearning? How does it work, and why is it important? via @Towards_AI Learn more → https://t.co/80h0QLtGWb",stanford__ai,['machinelearning'],3,2,https://twitter.com/stanford__ai/status/1366536303416926210,2021-03-01
41,"LeanTaaS: ""LeanTaas’ iQueue product suite takes data from any hospital #EHR or other electronic repository and runs #machinelearning and #artificialintelligence models on the data to predict patient demand, said @saagrawa, president and COO of @LeanTaaS."" https://t.co/NTtg7uy3NJ",chandrakalle,"['EHR', 'machinelearning', 'artificialintelligence']",3,2,https://twitter.com/chandrakalle/status/1366536012625829891,2021-03-01
42,"I'm going to post this everyday until I get a response
@TheSharkDaymond @mcuban @BarbaraCorcoran @kevinolearytv @LoriGreiner @robertherjavec #SharkTank courage=ask for help! Ok, HELP! we need funding for our #artificialintelligence #machinelearning #datingsite #LetsTalk #trending",DarrenDating,"['SharkTank', 'artificialintelligence', 'machinelearning', 'datingsite', 'LetsTalk', 'trending']",3,1,https://twitter.com/DarrenDating/status/1368349072411754498,2021-03-06
43,"How Do Cat Speech Translation Apps Work? - Over time, machine learning ca https://t.co/rIQErstSkU #machinelearning #intoAInews",into_AI,"['machinelearning', 'intoAInews']",3,1,https://twitter.com/into_AI/status/1366176273077329920,2021-02-28
44,"Achieving human-level performance in QWOP using Reinforcement Learning and Imitation Learning by Wes

 #machinelearning #deeplearning #reinforcementlearning  #learning #modelperformance #performancemetrics https://t.co/NtmBtYb8YP",DataPredictive,"['machinelearning', 'deeplearning', 'reinforcementlearning', 'learning', 'modelperformance', 'performancemetrics']",3,1,https://twitter.com/DataPredictive/status/1366175534011531265,2021-02-28
45,"With a social science background, math notation is the most challenging part of #MachineLearning for me. Once I get over it, the idea is often surprisingly intuitive. #DataScience",ozanahmetcetin,"['MachineLearning', 'DataScience']",2,7,https://twitter.com/ozanahmetcetin/status/1366899204011012096,2021-03-02
46,"Machine Learning Algorithms For Beginners with Code Examples in Python → https://t.co/2114SXlHWi via @Towards_AI

#TowardsAI #machinelearning #ml #algorithms #tutorial",stanford__ai,"['TowardsAI', 'machinelearning', 'ml', 'algorithms', 'tutorial']",2,3,https://twitter.com/stanford__ai/status/1367261073510981633,2021-03-03
47,25 Best Data Science Courses Online 2021 #DeepLearning #learning #machinelearning via https://t.co/kpF6ctybjv https://t.co/QLJ34PxhCd,aisear_ch,"['DeepLearning', 'learning', 'machinelearning']",2,3,https://twitter.com/aisear_ch/status/1366536618346229766,2021-03-01
48,"''AI: Facebook's new algorithm was trained on one billion Instagram pics''
https://t.co/lP8PCSH6Lt
@ZDNet
#Facebook
#research
#instagram
#algorithms
#pictures
#MachineLearning
#imagerecognition",BoujenaO,"['Facebook', 'research', 'instagram', 'algorithms', 'pictures', 'MachineLearning', 'imagerecognition']",2,2,https://twitter.com/BoujenaO/status/1367986675566206978,2021-03-05
49,Deployment in minutes—not months. @Oracle Modern Data Warehouse provides an integrated #MachineLearning solution that enables customer insights and #BusinessIntelligence to make business decisions faster. https://t.co/KC3daPjgSp https://t.co/Pc9imL7RFI,ChooShar,"['MachineLearning', 'BusinessIntelligence']",2,2,https://twitter.com/ChooShar/status/1366534222261800962,2021-03-01
50,This Site Spits Out AI-Generated Rejection Emails to Let Down Startups https://t.co/OHMAdv13nc #MachineLearning #DeepLearning https://t.co/YmfUcNetrV,lopezunwired,"['MachineLearning', 'DeepLearning']",2,1,https://twitter.com/lopezunwired/status/1368349562146942981,2021-03-06
51,AI-based method used to screen for Alzheimer's disease drugs #MachineLearning #learning via https://t.co/NEo7LankbK https://t.co/guJDDjL15K,Techfuturenew,"['MachineLearning', 'learning']",2,1,https://twitter.com/Techfuturenew/status/1368348568956923911,2021-03-06
52,Mega proud to announce the launch of a new podcast today – QuantumBlack Voices. Listen to the amazing Yetunde Dada here - https://t.co/mlRLmIvmry #podcast #machinelearning #QBLabs #Kedro #productmanagement #QBVoices https://t.co/Fn0tQWxeCA,NerdyProducer,"['podcast', 'machinelearning', 'QBLabs', 'Kedro', 'productmanagement', 'QBVoices']",2,1,https://twitter.com/NerdyProducer/status/1367987475436699653,2021-03-05
53,"How colleges are using #ArtificialIntelligence, #automation, #MachineLearning, and #EnterpriseTech to help students succeed. https://t.co/yYjZ0tK7cV",StevenAiroldi,"['ArtificialIntelligence', 'automation', 'MachineLearning', 'EnterpriseTech']",2,1,https://twitter.com/StevenAiroldi/status/1367263266708291596,2021-03-03
54,A16Z AI Playbook #DeepLearning #learning #machinelearning via https://t.co/7R5GEqGi4t https://t.co/MDq9GEaFor,PrintableEtsy,"['DeepLearning', 'learning', 'machinelearning']",2,1,https://twitter.com/PrintableEtsy/status/1367261378071904262,2021-03-03
55,"How feasible is it in training a neural network to solve a regression problem than to use a regular regression ML algorithm like (Lasso, Ridge, SVR, etc) to solve the same problem?

#MachineLearning",sirwallax,['MachineLearning'],2,1,https://twitter.com/sirwallax/status/1366899419623403528,2021-03-02
56,AI used to 'predict the next coronavirus' #UI #learning #machinelearning via https://t.co/4MqumgGU1q https://t.co/1bvCJAslHy,EtimOyoIta,"['UI', 'learning', 'machinelearning']",2,1,https://twitter.com/EtimOyoIta/status/1366898981188567048,2021-03-02
57,How To Succeed With Enterprise AI #MachineLearning #learning #ui  https://t.co/8MjyXnhZ2p,cybersecboardrm,"['MachineLearning', 'learning', 'ui']",2,1,https://twitter.com/cybersecboardrm/status/1366534310690496513,2021-03-01
58,Most ads you see are chosen by a reinforcement learning model — here’s how it works -  https://t.co/1CSs8s2eSn #machinelearning #intoAInews,into_AI,"['machinelearning', 'intoAInews']",2,1,https://twitter.com/into_AI/status/1366176318992351233,2021-02-28
59,"To all data scientists out there:

Who would be interested to create a dataset with me linking fighters' weigh-in photos with the outcome of the fight?

Like 3 columns:
Foto of Fighter A | Foto of Fighter B | Winner/Loser

#MachineLearning #ArtificialIntelligence #MMA",MMAAIcom1,"['MachineLearning', 'ArtificialIntelligence', 'MMA']",1,6,https://twitter.com/MMAAIcom1/status/1367624168632647684,2021-03-04
60,Tools For Data Science #MachineLearning #bigdata #learning via https://t.co/bDTgBUIWtG https://t.co/czu9l5O2jk,sajidmirza,"['MachineLearning', 'bigdata', 'learning']",1,2,https://twitter.com/sajidmirza/status/1367988090569166852,2021-03-05
61,New top post on /r/MachineLearning! https://t.co/MaUubvOitO #MachineLearning,NeurAutomata,['MachineLearning'],1,1,https://twitter.com/NeurAutomata/status/1367988124467466242,2021-03-05
62,#MachineLearning Models to Predict Electroencephalographic Seizures in Critically Ill Children - ScienceDirect  https://t.co/rJ8kgiou0A H/T: @StruckAF,saqibali_ca,['MachineLearning'],1,1,https://twitter.com/saqibali_ca/status/1367624365072809985,2021-03-04
